gene,SJRHB046412_C1,SJRHB046412_C2,SJRHB046412_C3,SJRHB046412_C4,SJRHB046412_C5,SJRHB046412_C6,SJRHB046412_C7,SJRHB046412_C8,SJRHB046412_C9
ZC3HC1,2991,2552,3878,2032,2344,1929,1835,1822,2274
ZC4H2,1032,910,1304,778,790,585,569,638,692
ZCCHC10,1059,939,1235,751,795,751,607,688,917
ZCCHC11,16674,18702,19992,13370,14350,12776,11282,12218,14295
ZCCHC12,7,5,5,5,2,9,9,6,7
ZCCHC13,0,0,0,0,0,0,0,0,0
ZCCHC14,4091,3858,4929,3309,3790,2738,2527,3093,3601
ZCCHC16,0,0,0,0,0,0,0,0,0
ZCCHC17,2379,2059,2720,2141,2351,2045,1822,2073,2514
ZCCHC18,203,146,326,92,87,71,66,79,95
